============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   99 10 .3088362E+08   4000000E+03 -.1337E+08 -.2181E+08   .9999087 -.0075819 -.0111817
T  100 10 .3093927E+08   4000000E+03 -.7198E+06  .4781E+07   .9999977 -.0005994 -.0020477
T  101 10 .3094422E+08   4000000E+03 -.1869E+08  .4046E+08   .9999178 -.0006505  .0128086
T  102 10 .3040832E+08   4000000E+03  .5684E+07  .1661E+08   .9999638 -.0018674  .0083030
T  103 10 .3004400E+08   4000000E+03  .1559E+08 -.1587E+08   .9999157  .0051949  .0118980
T  104 10 .3078379E+08   4000000E+03  .2929E+08 -.4663E+08   .9994063  .0059178 -.0339402
T  105 10 .3010337E+08   4000000E+03 -.2367E+08  .4662E+07   .9998514 -.0170462  .0025747
T  106 10 .3056798E+08   4000000E+03 -.1089E+08 -.4646E+06   .9997229 -.0174117 -.0158396
T  107 10 .3070475E+08   4000000E+03 -.4380E+07  .3794E+07   .9999906 -.0026741  .0034274
T  108 10 .3022677E+08   4000000E+03 -.1364E+08 -.1164E+06   .9999702 -.0068805 -.0034896
T  109 10 .3006067E+08   4000000E+03  .7245E+07 -.1896E+08   .9997644  .0000646 -.0217057
T  110 10 .2982357E+08   4000000E+03 -.2906E+08 -.6848E+07   .9999922  .0012033 -.0037609
T  111 10 .3132685E+08   4000000E+03  .3151E+08  .1905E+07   .9995444  .0265128 -.0144255
T  112 10 .3090583E+08   4000000E+03 -.9093E+07  .1705E+08   .9996164  .0105446  .0256115
T  113 10 .2990112E+08   4000000E+03  .1084E+08  .1261E+08   .9998380  .0179559 -.0012456
